Ident. Pedido,Estabelecimento,Tipo Entrega,Tipo Estab.,Início Preparo,Início Entrega,Término Entrega,Lat Cliente,Lon Cliente,Lat Estab.,Lon Estab.
cd662bc8-74a2-4f15-8be8-e2834a8c2088,1306721,IFOOD,Comida Brasileira,2023-01-09 20:06:57.043236,2023-01-09 20:26:48.059457,2023-01-09 20:34:44.383783,-3.735,-38.538,-3.722411,-38.536016
66e78978-bdeb-4ea4-a056-9e3cf9d1e570,1306721,IFOOD,Comida Brasileira,2023-01-09 12:25:17.479289,2023-01-09 12:35:12.164289,2023-01-09 12:54:13.602855,-3.741,-38.544,-3.722411,-38.536016
921b6faa-d5b0-4334-a911-ae2687e9ab38,1306721,IFOOD,Comida Brasileira,2023-01-09 18:37:58.844006,2023-01-09 18:55:02.391082,2023-01-09 19:11:29.915534,-3.725,-38.553,-3.722411,-38.536016
57c92df4-096c-4848-9a1c-92eac70efa3b,1306721,IFOOD,Comida Brasileira,2023-01-09 20:32:54.600922,2023-01-09 20:45:09.047628,2023-01-09 20:55:51.023237,-3.735,-38.527,-3.722411,-38.536016
2a2dd032-ae1e-4e72-a5c5-0d001d92b5d0,1306721,IFOOD,Comida Brasileira,2023-01-09 19:52:59.575344,2023-01-09 20:06:11.175014,2023-01-09 20:15:51.092259,-3.721,-38.515,-3.722411,-38.536016
c8e9d0e8-1a9d-457a-bb9e-043222a48254,1306721,IFOOD,Comida Brasileira,2023-01-09 11:22:35.962032,2023-01-09 11:43:42.075669,2023-01-09 12:07:27.944546,-3.724,-38.543,-3.722411,-38.536016
f86b8d4e-8439-4d9a-b626-17a830c0e90c,1306721,IFOOD,Comida Brasileira,2023-01-09 12:37:31.096543,2023-01-09 13:01:05.199672,2023-01-09 13:10:44.826245,-3.736,-38.545,-3.722411,-38.536016
dae27832-c15b-401f-9412-ddc785ba7b81,1306721,IFOOD,Comida Brasileira,2023-01-09 11:20:02.897296,2023-01-09 11:43:42.004675,2023-01-09 11:58:57.990132,-3.73,-38.541,-3.722411,-38.536016
2005711d-93c7-456b-8ea9-8eacddb3263d,1306721,IFOOD,Comida Brasileira,2023-01-09 12:38:32.271238,2023-01-09 13:01:05.032263,2023-01-09 13:15:14.971977,-3.745,-38.542,-3.722411,-38.536016
61aec202-834b-468c-b557-9dd6255adcd4,1306721,IFOOD,Comida Brasileira,2023-01-09 11:31:42.611996,2023-01-09 11:53:11.001542,2023-01-09 12:08:18.790240,-3.732,-38.531,-3.722411,-38.536016
f55d1f1d-d8bc-4d9b-b7e8-bb10671169b0,1306721,IFOOD,Comida Brasileira,2023-01-09 19:38:38.723681,2023-01-09 19:55:34.890130,2023-01-09 20:11:07.042178,-3.741,-38.539,-3.722411,-38.536016
4ccfc788-a22d-4fb0-953a-2526411632dc,1306721,IFOOD,Comida Brasileira,2023-01-09 18:41:32.838348,2023-01-09 18:55:44.669254,2023-01-09 19:08:55.982779,-3.723,-38.515,-3.722411,-38.536016
6801d8dc-1514-4e5a-8c45-8c9723ca53ca,1306721,IFOOD,Comida Brasileira,2023-01-09 14:14:37.040469,2023-01-09 14:24:44.360939,2023-01-09 14:52:25.533528,-3.726,-38.562,-3.722411,-38.536016
006c0cb7-1d27-4318-a169-46cb600568e6,1306721,IFOOD,Comida Brasileira,2023-01-10 12:22:15.303865,2023-01-10 12:31:12.018603,2023-01-10 12:38:58.609111,-3.715,-38.546,-3.722411,-38.536016
64f4d7aa-743a-4842-8474-b1a49c13a43d,1306721,IFOOD,Comida Brasileira,2023-01-10 20:51:11.847791,2023-01-10 21:03:03.625779,2023-01-10 21:10:14.488387,-3.72,-38.53,-3.722411,-38.536016
7ee86c26-e243-4fd4-805c-c61540bea82b,1306721,IFOOD,Comida Brasileira,2023-01-10 20:10:31.708222,2023-01-10 20:31:39.215967,2023-01-10 20:42:51.483746,-3.735,-38.558,-3.722411,-38.536016
16d97b8e-c69f-4534-aca4-3ef95eb48624,1306721,IFOOD,Comida Brasileira,2023-01-09 11:29:11.021735,2023-01-09 12:01:51.748598,2023-01-09 12:11:18.474400,-3.715,-38.546,-3.722411,-38.536016
d5c659e9-41d9-4c36-9b87-c173256f1c6a,1306721,IFOOD,Comida Brasileira,2023-01-09 12:39:03.331954,2023-01-09 12:53:48.177850,2023-01-09 12:59:52.834885,-3.719,-38.551,-3.722411,-38.536016
bed026bb-0e92-4388-b767-fe05529dab92,1306721,IFOOD,Comida Brasileira,2023-01-09 20:11:02.219516,2023-01-09 20:24:17.139892,2023-01-09 20:32:51.484405,-3.73,-38.538,-3.722411,-38.536016
b3eef144-fb09-42ee-979f-58f850466250,1306721,IFOOD,Comida Brasileira,2023-01-10 11:08:38.037038,2023-01-10 11:37:26.145069,2023-01-10 11:47:55.039780,-3.726,-38.526,-3.722411,-38.536016
bbba7be2-6724-4307-93ba-4c655bedb812,1306721,IFOOD,Comida Brasileira,2023-01-10 20:28:49.290051,2023-01-10 20:41:07.793380,2023-01-10 20:54:24.908417,-3.741,-38.556,-3.722411,-38.536016
3796dc28-571c-47f6-9bdf-c968a5b57627,1306721,IFOOD,Comida Brasileira,2023-01-10 12:16:09.012530,2023-01-10 12:26:01.281257,2023-01-10 12:38:00.136874,-3.724,-38.562,-3.722411,-38.536016
343e4c1e-64b5-4632-a612-a7c751997b24,1306721,IFOOD,Comida Brasileira,2023-01-10 11:39:41.700728,2023-01-10 11:50:31.815511,2023-01-10 12:06:15.836294,-3.741,-38.536,-3.722411,-38.536016
